2020-03-27 17:25:33.802566: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2020-03-27 17:25:33.810999: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2400040000 Hz
2020-03-27 17:25:33.813822: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x634a1c0 executing computations on platform Host. Devices:
2020-03-27 17:25:33.813850: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
fail to load model...
-1242.0943873863257 -59.365124 1983.6532 0.006373037
-1265.1476190392468 -60.353973 2001.9304 0.007383151
-1247.4512007380688 -59.282085 1957.0015 0.005057519
-1269.015885612484 -59.8154 1974.4827 0.004027296
-1254.2266363906365 -58.623974 1910.0781 0.004011169
-1244.539603946906 -57.57655 1848.7808 0.0041627786
-1223.7686386869627 -56.062756 1776.6106 0.0039387946
-1222.8591296089241 -55.423073 1737.5962 0.0039727157
-1220.3271144444445 -54.747047 1706.035 0.0039765667
-1213.7418147419578 -53.86567 1666.8362 0.0040751407
save 성공!
-1224.7444182448903 -53.80835 1658.4175 0.0039746785
-1220.0289460838248 -53.04456 1622.5332 0.004139133
-1217.7572552988436 -52.414433 1592.5155 0.0041433256
-1206.7109567683062 -51.40893 1547.8154 0.0042557763
-1199.309252811647 -50.5971 1512.1364 0.0043253344
-1196.2143546075863 -49.996323 1481.6578 0.004492378
-1198.367097286722 -49.65489 1460.6246 0.0043958896
-1200.6771048535568 -49.323227 1443.5729 0.004334005
-1198.5353409795314 -48.80825 1420.527 0.0042218505
-1195.0570235003001 -48.2385 1393.9917 0.0041792034
save 성공!
-1192.5637173260611 -47.71614 1377.5618 0.0041114413
-1198.8003474522648 -47.605408 1369.9161 0.0040490003
-1192.847596351904 -46.937695 1345.912 0.0040134196
-1194.4874887539625 -46.62375 1333.3605 0.003954652
-1190.9581381348437 -46.076534 1310.7758 0.004008609
-1196.8702043797628 -45.98 1303.8928 0.004173516
-1197.263085023143 -45.623848 1289.1024 0.0043564844
-1192.7572943377825 -45.04166 1267.0836 0.004314569
-1186.9710276688618 -44.40709 1245.957 0.0042610355
-1188.5822020116063 -44.129692 1236.6117 0.004393541
save 성공!
-1185.9727472812824 -43.662525 1217.5385 0.004340323
-1182.272280958391 -43.147667 1198.5662 0.004286414
-1180.1048168746397 -42.71324 1179.2316 0.004245265
-1181.9045924902186 -42.471672 1168.716 0.0043484136
-1187.739960187831 -42.419502 1163.4235 0.0042966385
-1187.8770264911627 -42.10327 1147.8339 0.0044511203
-1188.6110016008033 -41.81006 1134.3367 0.004594733
-1187.5087044182426 -41.434193 1122.9061 0.0046806955
-1191.665618209753 -41.31168 1117.5807 0.0046868273
-1187.6273117631245 -40.808876 1101.9148 0.004801838
save 성공!
-1192.4988955578688 -40.717346 1095.3218 0.004809283
-1192.8345584366748 -40.411045 1082.8574 0.0048619886
-1197.4484740877458 -40.312443 1080.5131 0.004940435
-1196.0856192204212 -39.931957 1068.7688 0.004944022
-1196.237978022718 -39.626057 1058.3141 0.0049484493
-1194.4624001516916 -39.235306 1046.4792 0.0049663624
-1195.225481325347 -38.966354 1036.2977 0.004984414
-1198.2593760005757 -38.80018 1028.4529 0.004969888
-1198.4950165967775 -38.511803 1018.0774 0.0049477783
-1198.1877665140291 -38.198853 1007.11755 0.00499528
save 성공!
-1196.6351659857426 -37.832447 995.34564 0.005077033
-1198.0451427788016 -37.604916 986.97406 0.0050530704
-1200.7448490728905 -37.44241 981.15875 0.0050532864
-1201.339722986801 -37.179672 972.8318 0.005066677
-1200.774961031095 -36.863308 963.5524 0.005148781
-1200.644661114423 -36.577976 954.16797 0.005090629
-1199.6541985949752 -36.24762 943.7166 0.0051331953
-1198.8621798004822 -35.933014 933.91187 0.00511074
-1198.1236497710893 -35.625343 925.65765 0.005111472
-1197.8778888278953 -35.339134 916.2506 0.005131275
save 성공!
-1197.8042719730508 -35.06079 907.2331 0.005135349
-1196.1896307705358 -34.718945 897.59595 0.0051454618
-1195.364442327965 -34.419094 888.6464 0.00518376
-1194.2901648762434 -34.107365 879.43445 0.005140843
-1197.300819975004 -33.987907 874.18335 0.0051373504
-1197.3346300327742 -33.730606 865.64746 0.0051180692
-1198.4717948196903 -33.52823 858.9298 0.005085685
-1200.255983775545 -33.35271 852.42694 0.0050790505
-1199.461012211297 -33.081177 844.59827 0.005145208
-1200.441193729019 -32.877327 838.04034 0.0051529077
save 성공!
-1202.1897951623787 -32.710194 832.8591 0.0051906626
-1201.2813125034324 -32.42141 825.3909 0.0052373842
-1200.8243120516508 -32.172226 817.54724 0.005190121
-1200.0322521414294 -31.907421 809.80493 0.0052360618
-1199.8189396455361 -31.673756 803.03644 0.0052825715
-1199.5350823341091 -31.439402 796.70856 0.005314427
-1198.594061536165 -31.17625 788.89575 0.0052785217
-1198.3959772401558 -30.943502 781.9335 0.005315173
-1200.5422304041017 -30.81274 777.4047 0.005311659
-1200.1017978087734 -30.589941 771.083 0.0053208447
save 성공!
-1200.6822321991488 -30.390772 764.876 0.0053140195
-1201.0618411586988 -30.196873 758.91943 0.005295817
-1200.009482906456 -29.947092 753.2192 0.005276246
-1198.9191421474059 -29.707441 747.1507 0.0052929576
-1196.9780430942792 -29.413733 740.32983 0.00531293
-1195.6817003307588 -29.168915 733.8501 0.0053533567
-1196.1067704385691 -28.985928 727.99536 0.0053575593
-1195.8919610241012 -28.787312 722.4316 0.005367975
-1196.4118840793074 -28.620249 717.5519 0.005375371
-1195.021821013389 -28.366543 711.63336 0.0054153805
save 성공!
-1194.2713418999892 -28.14414 706.26373 0.005385834
-1194.4167809929177 -27.960938 700.7476 0.0054077376
-1195.5030445887276 -27.812073 695.90936 0.005376758
-1195.3509822792669 -27.620033 691.21545 0.0054213316
-1195.814585985057 -27.449343 686.191 0.0054350207
-1196.2263901981773 -27.284866 681.59546 0.0054402873
-1196.2679347267592 -27.113306 676.5516 0.005415036
-1194.0598764878275 -26.86378 671.3962 0.005461157
-1193.8587830350602 -26.67242 666.30383 0.0054688016
-1194.8237751589397 -26.538532 662.36304 0.0054718656
save 성공!
-1194.970452051567 -26.059675 644.7531 0.005461652
-1192.9606623445477 -25.510475 626.07635 0.005448291
-1192.9127755798363 -25.024319 609.0604 0.005495785
-1191.917156518059 -24.528606 591.1757 0.005569646
-1192.9078653424547 -24.101091 576.5149 0.0055814786
-1191.5495795001127 -23.62178 562.77026 0.0055577583
-1191.4359355476088 -23.19712 550.7639 0.0055956496
-1191.0005473450115 -22.777205 538.40094 0.0056128837
-1191.3035591819073 -22.369959 525.38904 0.005634593
-1192.3520745126202 -22.001457 514.4197 0.0056668394
save 성공!
-1189.4369442935915 -21.513796 500.2257 0.0056836675
-1188.7690579491587 -21.119408 489.64355 0.0056519657
-1189.5412547435587 -20.782648 479.87582 0.005691658
-1189.661144769032 -20.423552 471.4357 0.0056602783
-1190.4604148108783 -20.108025 463.29742 0.0056840945
-1190.7513226492904 -19.777401 454.72913 0.0056858147
-1191.9232999108087 -19.4446 445.45218 0.0057125473
-1192.172965269493 -19.08646 435.58298 0.005751265
-1193.536242970909 -18.773586 427.2224 0.005757395
-1195.5369054023176 -18.492878 420.14493 0.0057462766
save 성공!
-1194.9677851039673 -18.166302 411.24997 0.005778183
-1194.0970873284684 -17.770393 400.51782 0.0057971207
-1194.4351543810908 -17.466896 393.64282 0.0058242953
-1194.481711752663 -17.145197 385.026 0.005856869
-1196.5009262234582 -16.909344 379.66687 0.0058692847
-1195.4090069786246 -16.56232 370.47958 0.005798953
-1196.1800026227202 -16.297915 363.618 0.0057661855
-1196.7586020100903 -16.038967 358.25888 0.0058283107
-1198.3482064979125 -15.831842 353.48938 0.0058931815
-1197.2966018034726 -15.495084 345.3019 0.005839065
save 성공!
-1196.8188793527268 -15.222379 340.21918 0.005845826
-1197.0715740881233 -14.981802 335.48233 0.0058480673
-1197.6854901154315 -14.716684 330.87964 0.0058970614
-1196.877228120932 -14.394803 323.94714 0.005915173
-1194.1817819758485 -14.009958 315.30627 0.0059676813
-1193.5342996564373 -13.7285385 310.8631 0.0059417933
-1191.9876107433074 -13.436343 305.65378 0.0059425854
-1193.7746352042495 -13.228122 300.18134 0.0059499186
-1193.0737237862431 -12.916731 292.56476 0.005930002
